CustomerID,Age,AnnualIncome,Channel,ProductType,ABTestGroup,PropensityScore,AnnualPremium,Converted,CampaignDate
CUST-00001,24,48701,Paid Search,Term Life,Variant A,66,15.0,1,2026-02-22
CUST-00002,28,62499,Email,Term Life,Variant A,8,0.0,0,2026-04-01
CUST-00003,46,102004,Paid Social,Accidental Death,Variant A,10,0.0,0,2026-04-09
CUST-00004,27,77719,Paid Social,Term Life,Variant A,94,15.0,1,2026-01-21
CUST-00005,55,25000,Paid Search,Accidental Death,Control,84,15.0,1,2026-01-20
CUST-00006,41,25000,Paid Search,Term Life,Control,76,15.0,1,2026-01-19
CUST-00007,43,63392,Paid Search,Whole Life,Control,96,0.0,0,2026-02-02
CUST-00008,38,34681,Email,Accidental Death,Control,20,15.0,1,2026-04-30
CUST-00009,51,81213,Paid Social,Term Life,Control,42,0.0,0,2026-03-04
CUST-00010,51,66056,Paid Social,Term Life,Variant A,53,15.0,1,2026-03-09
CUST-00011,46,69134,Paid Search,Term Life,Variant A,65,0.0,0,2026-03-01
CUST-00012,48,47331,Email,Whole Life,Control,69,0.0,0,2026-01-19
CUST-00013,39,108534,Email,Whole Life,Variant A,87,18.11,1,2026-04-26
CUST-00014,48,136064,Paid Search,Whole Life,Variant A,54,0.0,0,2026-04-23
CUST-00015,37,58035,Paid Search,Term Life,Variant A,21,0.0,0,2026-01-28
CUST-00016,42,73825,Paid Search,Term Life,Variant A,32,0.0,0,2026-01-22
CUST-00017,38,67435,Paid Search,Term Life,Control,48,15.0,1,2026-02-20
CUST-00018,36,58507,Paid Social,Term Life,Control,16,0.0,0,2026-03-29
CUST-00019,33,44198,Paid Social,Whole Life,Variant A,74,0.0,0,2026-04-20
CUST-00020,47,37875,Paid Search,Accidental Death,Control,75,0.0,0,2026-03-04
CUST-00021,57,36610,Paid Social,Whole Life,Control,76,0.0,0,2026-03-03
CUST-00022,56,75131,Paid Search,Term Life,Variant A,7,0.0,0,2026-04-04
CUST-00023,26,52008,Paid Search,Accidental Death,Variant A,53,0.0,0,2026-01-29
CUST-00024,57,25000,Paid Search,Whole Life,Control,25,0.0,0,2026-03-15
CUST-00025,38,76121,Paid Social,Accidental Death,Control,12,0.0,0,2026-04-27
CUST-00026,49,64043,Paid Social,Whole Life,Control,68,0.0,0,2026-02-01
CUST-00027,31,98666,Paid Search,Term Life,Control,96,15.0,1,2026-03-14
CUST-00028,43,74328,Paid Social,Term Life,Variant A,63,15.0,1,2026-01-25
CUST-00029,45,28033,Paid Social,Whole Life,Control,34,15.0,1,2026-01-16
CUST-00030,24,25000,Paid Search,Term Life,Variant A,36,0.0,0,2026-01-15
CUST-00031,49,47013,Paid Social,Term Life,Variant A,79,15.0,1,2026-02-28
CUST-00032,58,49372,Paid Search,Whole Life,Variant A,24,0.0,0,2026-02-17
CUST-00033,39,88578,Paid Search,Whole Life,Variant A,20,0.0,0,2026-01-18
CUST-00034,58,64778,Email,Whole Life,Control,29,0.0,0,2026-04-27
CUST-00035,39,93342,Email,Term Life,Variant A,64,0.0,0,2026-01-23
CUST-00036,52,31879,Email,Term Life,Variant A,49,15.0,1,2026-02-24
CUST-00037,18,89131,Paid Search,Whole Life,Variant A,13,0.0,0,2026-02-11
CUST-00038,71,83024,Paid Search,Accidental Death,Control,55,0.0,0,2026-01-03
CUST-00039,59,25000,Paid Social,Whole Life,Control,65,0.0,0,2026-03-12
CUST-00040,38,98065,Paid Social,Accidental Death,Control,44,0.0,0,2026-04-13
CUST-00041,18,67336,Paid Search,Whole Life,Variant A,65,15.0,1,2026-02-21
CUST-00042,45,74801,Paid Social,Whole Life,Variant A,71,15.0,1,2026-01-11
CUST-00043,24,43377,Paid Search,Term Life,Variant A,84,15.0,1,2026-02-24
CUST-00044,47,96881,Email,Whole Life,Variant A,80,0.0,0,2026-03-29
CUST-00045,46,35353,Paid Search,Whole Life,Control,19,0.0,0,2026-04-09
CUST-00046,30,85802,Paid Social,Whole Life,Variant A,57,0.0,0,2026-04-24
CUST-00047,55,85515,Paid Search,Term Life,Variant A,8,0.0,0,2026-01-25
CUST-00048,51,40645,Paid Social,Whole Life,Control,27,15.0,1,2026-04-02
CUST-00049,53,114584,Paid Social,Term Life,Variant A,31,0.0,0,2026-03-17
CUST-00050,42,70788,Paid Search,Whole Life,Variant A,41,0.0,0,2026-03-28
CUST-00051,25,81347,Email,Term Life,Control,81,0.0,0,2026-03-22
CUST-00052,53,26821,Paid Social,Accidental Death,Variant A,47,15.0,1,2026-02-10
CUST-00053,38,117943,Email,Term Life,Variant A,41,0.0,0,2026-02-06
CUST-00054,25,34386,Email,Term Life,Control,89,15.0,1,2026-03-23
CUST-00055,58,90622,Paid Social,Term Life,Control,33,15.0,1,2026-02-24
CUST-00056,67,40130,Email,Whole Life,Control,33,15.0,1,2026-01-09
